modulo;perfil;medida;color;extras;costo;proveedor;precio;ganancia
PATAGONICA_HERRERO;amarilla;150x110;blanco;raja;119166;126316;164211;45045
PATAGONICA_HERRERO;amarilla;150x110;blanco;brazo;122766;130132;169172;46406
PATAGONICA_HERRERO;amarilla;150x110;blanco;volcable;122766;130132;169172;46406
PATAGONICA_HERRERO;amarilla;200x150;blanco;raja;216571;229565;298434;81864
PATAGONICA_HERRERO;amarilla;200x150;blanco;brazo;223771;237197;308356;84585
PATAGONICA_HERRERO;amarilla;200x150;blanco;volcable;223771;237197;308356;84585
PATAGONICA_HERRERO;amarilla;150x110;negro;raja;144726;153410;199433;54707
PATAGONICA_HERRERO;amarilla;150x110;negro;brazo;148326;157226;204394;56067
PATAGONICA_HERRERO;amarilla;150x110;negro;volcable;148326;157226;204394;56067
PATAGONICA_HERRERO;amarilla;200x150;negro;raja;262669;278429;361957;99289
PATAGONICA_HERRERO;amarilla;200x150;negro;brazo;269869;286061;371879;102010
PATAGONICA_HERRERO;amarilla;200x150;negro;volcable;269869;286061;371879;102010
PATAGONICA_HERRERO;amarilla;150x110;bronce colonial;raja;157506;166957;217044;59537
PATAGONICA_HERRERO;amarilla;150x110;bronce colonial;brazo;161106;170773;222004;60898
PATAGONICA_HERRERO;amarilla;150x110;bronce colonial;volcable;161106;170773;222004;60898
PATAGONICA_HERRERO;amarilla;200x150;bronce colonial;raja;285717;302860;393718;108001
PATAGONICA_HERRERO;amarilla;200x150;bronce colonial;brazo;292917;310492;403639;110723
PATAGONICA_HERRERO;amarilla;200x150;bronce colonial;volcable;292917;310492;403639;110723
PATAGONICA_HERRERO;amarilla;150x110;simil madera;raja;357727;379190;492947;135221
PATAGONICA_HERRERO;amarilla;150x110;simil madera;brazo;361327;383006;497908;136581
PATAGONICA_HERRERO;amarilla;150x110;simil madera;volcable;361327;383006;497908;136581
PATAGONICA_HERRERO;amarilla;200x150;simil madera;raja;646808;685616;891301;244493
PATAGONICA_HERRERO;amarilla;200x150;simil madera;brazo;654008;693248;901222;247215
PATAGONICA_HERRERO;amarilla;200x150;simil madera;volcable;654008;693248;901222;247215
PATAGONICA_HERRERO;azul;150x110;blanco;raja;116518;128170;166621;50103
PATAGONICA_HERRERO;azul;150x110;blanco;brazo;120038;132042;171655;51616
PATAGONICA_HERRERO;azul;150x110;blanco;volcable;120038;132042;171655;51616
PATAGONICA_HERRERO;azul;200x150;blanco;raja;211758;232934;302814;91056
