Caso,Descripcion,CostoBase,PrecioFinal,Items,Valido
"Abrir Modelo4 herrero blanco","Portón 3 hojas",606141,606141,6,true
"Abrir Modelo4 herrero negro","Portón 3 hojas",606141,782681,7,true
"Abrir Modelo4 herrero bronce colonial","Portón 3 hojas",606141,870952,7,true
"Abrir Modelo4 herrero simil madera","Portón 3 hojas",606141,2253851,7,true
"Abrir Modelo4 modena blanco","Portón 3 hojas",1037034,1037034,6,true
"Abrir Modelo4 modena negro","Portón 3 hojas",1037034,1342842,7,true
"Abrir Modelo4 modena bronce colonial","Portón 3 hojas",1037034,1495746,7,true
"Abrir Modelo4 modena simil madera","Portón 3 hojas",1037034,3891245,7,true
"Plegadizo Modelo5 herrero blanco","Portón 3 hojas",632268,1081881,8,true
"Plegadizo Modelo5 herrero negro","Portón 3 hojas",632268,1271562,9,true
"Plegadizo Modelo5 herrero bronce colonial","Portón 3 hojas",632268,1366402,9,true
"Plegadizo Modelo5 herrero simil madera","Portón 3 hojas",632268,2852232,9,true
"Plegadizo Modelo5 modena blanco","Portón 3 hojas",1089612,1562093,8,true
"Plegadizo Modelo5 modena negro","Portón 3 hojas",1089612,1888976,9,true
"Plegadizo Modelo5 modena bronce colonial","Portón 3 hojas",1089612,2052418,9,true
"Plegadizo Modelo5 modena simil madera","Portón 3 hojas",1089612,4613006,9,true
"Modena Premarco Contramarco","Portón 3 hojas",1089612,1672293,10,true
