modulo	perfil	linea	configuracion	medida	color	descripcion	costo	proveedor	precio	ganancia
PUERTA	amarilla	herrero	simple	80x200	blanco	modelo_4 | 3mm	202047	181842	250579	68736
PUERTA	amarilla	modena	simple	80x200	blanco	modelo_4 | 3mm	345678	321481	443000	121520
PUERTA	amarilla	herrero	simple	80x200	negro	modelo_4 | 3mm	260894	234804	323560	88756
PUERTA	amarilla	modena	simple	80x200	negro	modelo_4 | 3mm	447614	416281	573635	157354
PUERTA	amarilla	herrero	simple	80x200	bronce colonial	modelo_4 | 3mm	290317	261285	360051	98766
PUERTA	amarilla	modena	simple	80x200	bronce colonial	modelo_4 | 3mm	498582	463681	638953	175272
PUERTA	amarilla	herrero	simple	80x200	simil madera	modelo_4 | 3mm	751284	676155	931742	255587
PUERTA	amarilla	modena	simple	80x200	simil madera	modelo_4 | 3mm	1297082	1206286	1662262	455976
PUERTA	azul	herrero	simple	80x200	blanco	modelo_4 | 3mm	202047	177801	254256	76455
PUERTA	azul	modena	simple	80x200	blanco	modelo_4 | 3mm	345678	321481	459717	138237
PUERTA	azul	herrero	simple	80x200	negro	modelo_4 | 3mm	260894	229587	328309	98722
PUERTA	azul	modena	simple	80x200	negro	modelo_4 | 3mm	447614	416281	595282	179001
PUERTA	azul	herrero	simple	80x200	bronce colonial	modelo_4 | 3mm	290317	255479	365335	109856
PUERTA	azul	modena	simple	80x200	bronce colonial	modelo_4 | 3mm	498582	463681	663064	199383
PUERTA	azul	herrero	simple	80x200	simil madera	modelo_4 | 3mm	751284	661130	945416	284286
PUERTA	azul	modena	simple	80x200	simil madera	modelo_4 | 3mm	1297082	1206286	1724989	518703
PUERTA	verde	herrero	simple	80x200	blanco	modelo_4 | 3mm	202047	177801	276037	98235
PUERTA	verde	modena	simple	80x200	blanco	modelo_4 | 3mm	345678	321481	499099	177618
PUERTA	verde	herrero	simple	80x200	negro	modelo_4 | 3mm	260894	229587	356433	126847
PUERTA	verde	modena	simple	80x200	negro	modelo_4 | 3mm	447614	416281	646276	229995
PUERTA	verde	herrero	simple	80x200	bronce colonial	modelo_4 | 3mm	290317	255479	396631	141152
PUERTA	verde	modena	simple	80x200	bronce colonial	modelo_4 | 3mm	498582	463681	719865	256184
PUERTA	verde	herrero	simple	80x200	simil madera	modelo_4 | 3mm	751284	661130	1026404	365274
PUERTA	verde	modena	simple	80x200	simil madera	modelo_4 | 3mm	1297082	1206286	1872759	666473
PUERTA	papu	herrero	simple	80x200	blanco	modelo_4 | 3mm	202047	202047	202047	0
PUERTA	papu	modena	simple	80x200	blanco	modelo_4 | 3mm	345678	345678	345678	0
PUERTA	papu	herrero	simple	80x200	negro	modelo_4 | 3mm	260894	260894	260894	0
PUERTA	papu	modena	simple	80x200	negro	modelo_4 | 3mm	447614	447614	447614	0
PUERTA	papu	herrero	simple	80x200	bronce colonial	modelo_4 | 3mm	290317	290317	290317	0
PUERTA	papu	modena	simple	80x200	bronce colonial	modelo_4 | 3mm	498582	498582	498582	0
PUERTA	papu	herrero	simple	80x200	simil madera	modelo_4 | 3mm	751284	751284	751284	0
PUERTA	papu	modena	simple	80x200	simil madera	modelo_4 | 3mm	1297082	1297082	1297082	0
ERROR	amarilla	eco	simple	80x200	blanco	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	amarilla	eco	simple	80x200	negro	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	amarilla	eco	simple	80x200	bronce colonial	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	amarilla	eco	simple	80x200	simil madera	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	azul	eco	simple	80x200	blanco	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	azul	eco	simple	80x200	negro	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	azul	eco	simple	80x200	bronce colonial	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	azul	eco	simple	80x200	simil madera	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	verde	eco	simple	80x200	blanco	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	verde	eco	simple	80x200	negro	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	verde	eco	simple	80x200	bronce colonial	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	verde	eco	simple	80x200	simil madera	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	papu	eco	simple	80x200	blanco	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	papu	eco	simple	80x200	negro	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	papu	eco	simple	80x200	bronce colonial	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	papu	eco	simple	80x200	simil madera	"Modelo ""modelo_4 | 3mm"" no existe para la línea ""eco""."				
ERROR	amarilla	herrero	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	amarilla	modena	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	amarilla	herrero	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	amarilla	modena	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	amarilla	herrero	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	amarilla	modena	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	amarilla	herrero	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	amarilla	modena	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	azul	herrero	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	azul	modena	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	azul	herrero	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	azul	modena	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	azul	herrero	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	azul	modena	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	azul	herrero	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	azul	modena	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	verde	herrero	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	verde	modena	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	verde	herrero	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	verde	modena	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	verde	herrero	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	verde	modena	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	verde	herrero	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	verde	modena	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	papu	herrero	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	papu	modena	porton	240x200	blanco	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	papu	herrero	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	papu	modena	porton	240x200	negro	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	papu	herrero	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	papu	modena	porton	240x200	bronce colonial	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
ERROR	papu	herrero	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""herrero""."				
ERROR	papu	modena	porton	240x200	simil madera	"Modelo ""modelo_5 | Sin extras"" no existe para la línea ""modena""."				
