Caso,Descripcion,CostoBase,PrecioFinal,Items,Valido
"Pano Fijo Blanco","Paño fijo herrero 150x150 vidrio 4mm",114791,114791,2,true
"Pano Fijo Negro","Paño fijo herrero 150x150 vidrio 4mm negro",134024,134024,2,true
"Pano Fijo Bronce","Paño fijo herrero 150x150 vidrio 4mm bronce colonial",143641,143641,2,true
"Pano Fijo Simil","Paño fijo herrero 150x150 vidrio 4mm simil madera",294299,294299,2,true
"Premarco","Premarco 150x150",44400,44400,1,true
"Contramarco Blanco","Contramarco 150x150",25200,25200,1,true
"Contramarco Negro","Contramarco 150x150 negro",32760,32760,1,true
"Contramarco Bronce","Contramarco 150x150 bronce colonial",36540,36540,1,true
"Contramarco Simil","Contramarco 150x150 simil madera",95760,95760,1,true
"Pano Fijo 240x240 Dos Travesanos","Paño fijo herrero 240x240 vidrio 4mm",297202,297202,4,true
