modulo;perfil;medida;color;descripcion;extras;costo;proveedor;precio;ganancia
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Sin extras;sin extras;110126;99113;136578;26452
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Mosquitero;mosquitero;146918;132226;192738;45820
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Guía;guia;135939;122345;168592;32653
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Guía + Cortina PVC;guia+pvc;135939;122345;168592;32653
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Guía + Cortina Aluminio;guia+aluminio;135939;122345;168592;32653
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Mosquitero + Guía;mosq+guia;172731;155458;224751;52020
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Mosquitero + Guía + Cortina PVC;mosq+guia+pvc;172731;155458;224751;52020
VENTANA_HERRERO;amarilla;150x150;blanco;150x150 | blanco | Mosquitero + Guía + Cortina Aluminio;mosq+guia+aluminio;172731;155458;224751;52020
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Sin extras;sin extras;133163;119847;165149;31986
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Mosquitero;mosquitero;180993;162894;238156;57163
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Guía;guia;158976;143078;197162;38186
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Guía + Cortina PVC;guia+pvc;158976;143078;197162;38186
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Guía + Cortina Aluminio;guia+aluminio;158976;143078;197162;38186
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Mosquitero + Guía;mosq+guia;206806;186125;270170;63364
VENTANA_HERRERO;amarilla;150x150;negro;150x150 | negro | Mosquitero + Guía + Cortina PVC;mosq+guia+pvc;206806;186125;270170;63364
